"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"IPL_R_6_2",-0.110185931987895,-0.0216311784769036,0.0850785492326205,-0.0461497797116011,0.0229085157452572,-0.663242194206721,-0.427259220329701,0.026143715113004,-0.166426308609912,0.00476536812645775
"IPL_L_6_3",-0.173328577477821,0.0197350446137606,-0.0105702736288013,-0.044927844950978,0.139295823857554,-0.739117162855572,-0.404536926439568,-0.0513292184245015,-0.155598219957483,0.128514144686398
"IPL_R_6_3",-0.186553393504559,0.000918949288752235,-0.0548837747836827,-0.0538245557826242,0.112704515674403,-0.746676438946868,-0.435492703801242,-0.0908006691934603,-0.158104729295132,0.104040115887006
"IPL_L_6_4",-0.123095131737608,-0.0423360593700044,0.0130115616618759,-0.108987537109887,0.118916858340438,-0.673978579900309,-0.45432580877789,-0.0333008278780765,-0.194806306918864,0.114337816491624
"IPL_R_6_4",-0.190761604682845,-0.0187690269349439,-0.118008341365278,-0.0869031624771391,0.12869011665893,-0.707191952892076,-0.445366416194808,-0.131382119408003,-0.156042167267354,0.105154167895198
"IPL_L_6_5",0.0606767049567652,-0.203633026225474,0.140378826386365,-0.186800718323366,0.221092964875997,-0.509061443590497,-0.558470271006831,0.0200392641811727,-0.216496542837116,0.14848950307012
"IPL_R_6_5",-0.0571038090380972,-0.184864831378288,0.00114367816237794,-0.153588967823381,0.0716261224824754,-0.588042983835707,-0.597722723268715,-0.0425554570062467,-0.201450255731961,0.0581422573546044
"IPL_L_6_6",-0.0847719142336053,-0.0625506402730419,-0.187930696150198,0.0403261110281897,0.00414353009267668,-0.562475768570231,-0.462544330932487,-0.240041864638171,-0.0189421131453456,0.00255935964732432
"IPL_R_6_6",-0.171667363104903,-0.0656344075628923,-0.317724031203752,0.0929066212665544,-0.0134051800780841,-0.633036399726153,-0.470063374559518,-0.310817792633311,0.00586219545551147,-0.0247394044132238
"Pcun_L_4_1",0.0344887481778038,-0.036233344467622,-0.0134904824678052,-0.0467596452718972,0.00931965224968963,-0.434938724775387,-0.521757938965153,-0.0836333293265335,-0.117501998289034,-0.00717385424896388
"Pcun_R_4_1",-0.00141900911045242,-0.0146908060304117,-0.00780173422210713,-0.0125295698180591,-0.00379519851630179,-0.524496213645709,-0.473714109766241,-0.0661893505427109,-0.0756169901469458,-0.0366601382862675
"Pcun_L_4_2",0.00187663427830273,-0.0177494801940593,-0.028311390342478,0.0023911903734688,0.0455380001634061,-0.471522921638563,-0.464652875118515,-0.132207763041993,-0.0211007832280523,0.0223544163539043
"Pcun_R_4_2",-0.032883617515039,-0.000546309687985538,-0.0347720052365773,0.0232417588834392,0.0597011043872267,-0.546139369535001,-0.419481055786965,-0.132069096014715,0.00197283801422441,0.0226464511800798
"Pcun_L_4_3",0.0766055291261939,-0.048822720168521,-0.0279758952123334,-0.0174232878668503,-0.145906846460985,-0.378576755177131,-0.484000758693169,-0.146067520418678,-0.0843585574601748,-0.229637234477658
"Pcun_R_4_3",-0.00836850406756686,-0.0395092465810058,-0.0104258858073398,0.0589306223496188,-0.252438569889582,-0.516101015263772,-0.450885597967207,-0.118037483968675,-0.0435236298478503,-0.29117768411326
"Pcun_L_4_4",0.149364885775073,-0.113058398121843,-0.0546475542378757,-0.0980312617465628,-0.0571747629543132,-0.180113332874391,-0.597514597910727,-0.162641173782224,-0.0998122224592095,-0.116943193923195
"Pcun_R_4_4",0.135017798804211,-0.12798734984603,-0.0410372660914834,-0.0945242177571049,-0.0955298738071113,-0.25828441598891,-0.601509677161179,-0.129390519236025,-0.0996868500625418,-0.145450120791708
"PoG_L_4_1",-0.122002653560032,-0.0362125245030339,-0.00911222162324735,0.060411417197444,0.12569960060826,-0.690497825325178,-0.494527886200546,-0.0692457601340928,-0.0533288140602605,0.113451816643023
